iter	F1	Logloss
0	0.4262917718	0.6495003877
1	0.4232648496	0.6285490881
2	0.4549035393	0.616766306
3	0.4882381046	0.6042143029
4	0.5088796498	0.595911494
5	0.521848441	0.5875064003
6	0.5327160995	0.5826181058
7	0.55	0.5765151086
8	0.5613405462	0.5703763162
9	0.5686186857	0.5663371426
10	0.5845503954	0.5602192685
11	0.5943553133	0.5552753671
12	0.596544067	0.5507067512
13	0.6038969265	0.5463752831
14	0.6093916215	0.5435185768
15	0.6171177983	0.5401598687
16	0.6230620399	0.537452672
17	0.6304685542	0.5341154324
18	0.6321173711	0.5314159921
19	0.6329151957	0.52841052
20	0.6401193881	0.5241831368
21	0.6419225899	0.5212487177
22	0.651740432	0.5174213301
23	0.6554596993	0.515614619
24	0.6585239725	0.512983001
25	0.6640801493	0.5096186169
26	0.6663400774	0.5054800309
27	0.6711655542	0.5015042386
28	0.676703452	0.4979778037
29	0.6810666017	0.495238786
30	0.6853621852	0.492103412
31	0.6879506664	0.4897285762
32	0.6949706074	0.4862727374
33	0.6999325691	0.4831204201
34	0.7041631674	0.4805237129
35	0.7042645612	0.4784696912
36	0.7058087492	0.4753038985
37	0.7067977068	0.4737232552
38	0.7105573329	0.4715535224
39	0.7123063601	0.4686243335
40	0.7148522943	0.4665669645
41	0.7176114818	0.4641063767
42	0.7209636477	0.4622076946
43	0.7236656548	0.4602942343
44	0.725536537	0.4579691814
45	0.7279313632	0.4548943957
46	0.7293691633	0.4523535011
47	0.7313638742	0.4504207406
48	0.7345987346	0.4483181366
49	0.737407337	0.4458812008
50	0.7384147645	0.4445413425
51	0.7400807793	0.4429493255
52	0.7427854454	0.4405643236
53	0.7447477254	0.4384078401
54	0.7463194461	0.4363801844
55	0.7482112919	0.4345014182
56	0.7489329592	0.4334089085
57	0.7506885431	0.4318940544
58	0.7508116501	0.4303929701
59	0.7517129335	0.4289301199
60	0.7512117077	0.4275662823
61	0.7519525736	0.4263480801
62	0.7537936713	0.4250124378
63	0.7543314501	0.4238145235
64	0.7551404508	0.4225317717
65	0.7565458562	0.4206957487
66	0.7584183973	0.4197497713
67	0.7596316482	0.4186807215
68	0.7601146563	0.4169562014
69	0.7611484423	0.4161132224
70	0.7626784373	0.4150863175
71	0.7632537054	0.4142360348
72	0.7644972638	0.4127611062
73	0.7642590023	0.4118476522
74	0.7664490678	0.4105078275
75	0.7668561763	0.4090483035
76	0.768703973	0.4077921839
77	0.7696635799	0.4067792612
78	0.7707136324	0.4058267872
79	0.771256531	0.4041935566
80	0.7720366165	0.4035002262
81	0.7728740581	0.4027928048
82	0.7752640927	0.4012226681
83	0.7778711485	0.3994486609
84	0.7792450189	0.398311849
85	0.7799070983	0.3977259027
86	0.7810788768	0.3968806776
87	0.7818347042	0.3959491359
88	0.7826795484	0.3949249495
89	0.782871771	0.3937555285
90	0.7835353794	0.3927297737
91	0.7842991522	0.3913319452
92	0.7853838823	0.3900045418
93	0.7866629516	0.3886402422
94	0.7881135752	0.3878348327
95	0.7882710465	0.3864386561
96	0.7883967764	0.3853881886
97	0.7882361134	0.384524279
98	0.7884843274	0.3839171671
99	0.7889490438	0.3829438353
100	0.7898538942	0.3820533227
101	0.7904965594	0.3804345843
102	0.7918020611	0.3796649779
103	0.793142645	0.3787592487
104	0.7940344204	0.3778771128
105	0.7943380903	0.3772476671
106	0.7949664507	0.3764314743
107	0.7964749536	0.3754836436
108	0.7977942028	0.3748117431
