iter	Passed	Remaining
0	267	1338043
1	454	1135244
2	644	1074018
3	853	1066483
4	1055	1054000
5	1227	1022072
6	1402	1000569
7	1581	986973
8	1759	975583
9	1931	963626
10	2104	954433
11	2284	949653
12	2455	942121
13	2636	939123
14	2812	934569
15	2983	929276
16	3151	923653
17	3321	919250
18	3491	915375
19	3659	911243
20	3856	914372
21	4028	911582
22	4203	909663
23	4367	905591
24	4545	904543
25	4714	901920
26	4927	907551
27	5114	908197
28	5290	906835
29	5472	906562
30	5642	904416
31	5813	902514
32	6015	905435
33	6206	906448
34	6393	906906
35	6566	905475
36	6750	905447
37	6920	903672
38	7096	902667
39	7386	915885
40	7574	916194
41	7747	914622
42	7918	912818
43	8091	911373
44	8275	911225
45	8468	911994
46	8648	911450
47	8822	910185
48	9000	909398
49	9176	908464
50	9356	907902
51	9523	906229
52	9705	905881
53	9874	904415
54	10058	904320
55	10246	904663
56	10418	903493
57	10591	902449
58	10779	902739
59	10945	901138
60	11114	899919
61	11302	900187
62	11473	899114
63	11647	898328
64	11813	896882
65	11989	896293
66	12164	895601
67	12366	896904
68	12565	897949
69	12728	896433
70	12892	895025
71	13056	893612
72	13222	892455
73	13390	891356
74	13571	891202
75	13761	891574
76	13937	891078
77	14105	890103
78	14272	889070
79	14456	889063
80	14617	887722
81	14785	886758
82	14956	886017
83	15124	885168
84	15294	884353
85	15455	883126
86	15619	882034
87	15790	881408
88	15965	880948
89	16134	880210
90	16337	881318
91	16566	883795
92	16812	887088
93	17037	889201
94	17250	890674
95	17494	893674
96	17733	896361
97	17949	897823
98	18169	899470
99	18346	898975
100	18508	897759
101	18686	897309
102	18854	896429
103	19021	895477
104	19204	895288
105	19365	894096
106	19531	893159
107	19700	892346
108	19863	891316
109	20029	890393
110	20199	889699
111	20370	889022
112	20540	888334
113	20719	888041
114	20887	887267
115	21055	886520
116	21223	885769
117	21403	885528
118	21570	884736
119	21755	884722
120	21925	884094
121	22095	883451
122	22263	882746
123	22428	881936
124	22605	881614
125	22772	880912
126	22950	880629
127	23121	880060
128	23290	879460
129	23457	878758
130	23620	877942
131	23790	877352
132	23972	877250
133	24138	876558
134	24309	876028
135	24472	875242
136	24636	874503
137	24803	873863
138	24977	873506
139	25142	872810
140	25305	872065
141	25477	871614
142	25642	870958
143	25812	870456
144	25988	870179
145	26153	869527
146	26320	868941
147	26498	868733
148	26664	868125
149	26831	867535
150	26996	866922
151	27171	866616
152	27343	866222
153	27523	866106
154	27703	865942
155	27877	865632
156	28054	865396
157	28240	865451
158	28442	865967
159	28625	865923
160	28805	865784
161	28995	865940
162	29168	865581
163	29405	867108
164	29743	871562
165	30071	875700
166	30366	878811
167	30598	880060
168	31007	886363
169	31260	888169
170	31507	889753
171	31778	892005
172	32009	893119
173	32197	893024
174	32399	893291
175	32628	894326
176	32833	894662
177	33055	895462
178	33352	898289
179	33586	899362
180	33772	899176
181	33986	899718
182	34202	900279
183	34410	900668
184	34606	900696
185	34802	900760
186	34994	900681
187	35190	900735
188	35495	903537
189	35831	907092
190	36073	908249
191	36330	909767
192	36573	910935
193	36893	913972
194	37148	915366
195	37336	915124
196	37545	915397
197	37762	915831
198	37982	916353
199	38193	916639
200	38381	916374
201	38565	916025
202	38757	915855
203	38940	915493
204	39150	915738
205	39353	915835
206	39543	915623
207	39734	915413
208	39917	915056
209	40113	914959
210	40307	914837
211	40490	914476
212	40706	914854
213	40906	914843
214	41111	914960
215	41338	915564
216	41537	915545
217	41722	915212
218	41922	915216
219	42117	915087
220	42299	914698
221	42484	914363
222	42697	914638
223	42893	914561
224	43111	914919
225	43303	914748
226	43494	914543
227	43705	914752
228	43893	914488
229	44100	914615
230	44293	914434
231	44482	914199
232	44681	914146
233	44875	913993
234	45077	914017
235	45262	913681
236	45453	913490
237	45660	913586
238	45836	913081
239	46043	913193
240	46218	912677
241	46385	912001
242	46553	911339
243	46745	911152
244	46995	912097
245	47211	912379
246	47388	911887
247	47569	911493
248	47784	911744
249	47984	911701
250	48154	911101
251	48322	910448
252	48485	909730
253	48656	909147
254	48871	909396
255	49087	909647
256	49294	909746
257	49471	909280
258	49650	908860
259	49913	909968
260	50139	910395
261	50298	909599
262	50486	909324
263	50656	908750
264	50844	908487
265	51013	907895
266	51178	907226
267	51344	906568
268	51512	905964
269	51675	905274
270	51865	905063
271	52104	905705
272	52325	906017
273	52491	905391
274	52678	905119
275	52895	905363
276	53117	905682
277	53299	905328
278	53469	904770
279	53666	904657
280	53885	904937
281	54096	905063
282	54308	905202
283	54524	905407
284	54766	906046
285	54984	906275
286	55346	908872
287	55872	914139
288	56129	914974
289	56347	915161
290	56569	915410
291	56783	915543
292	57032	916221
293	57272	916744
294	57471	916626
295	57685	916728
296	57906	916947
297	58079	916411
298	58281	916326
299	58463	915933
300	58753	917215
301	59061	918775
302	59284	919002
303	59471	918679
